"base_m","rung","n_reps","eps_fa","g_fa_min","g_fa_max","eps_cf","g_cf_min","g_cf_max","cf_V_eff","deff","icc_eif"
6,"L1_param",1000,0.0142,0.1185,0.8917,0.103,0.119,0.9081,5,1.2464,0.0338
12,"L1_param",1000,0.0097,0.1181,0.918,0.0826,0.1187,0.9255,5,1.2651,0.0361
20,"L1_param",1000,0.0076,0.1158,0.9292,0.0738,0.1166,0.9341,5,1.2692,0.0369
30,"L1_param",1000,0.0061,0.1156,0.9439,0.0723,0.1154,0.9409,5,1.2705,0.0377
6,"L3_adaptive",1000,0.0496,0.1009,0.8614,0.0965,0.1164,0.8926,5,1.2802,0.0314
12,"L3_adaptive",1000,0.0461,0.0933,0.8791,0.0739,0.1107,0.9036,5,1.2899,0.0335
20,"L3_adaptive",1000,0.041,0.089,0.8824,0.0599,0.1036,0.9122,5,1.2894,0.0345
30,"L3_adaptive",1000,0.0406,0.0816,0.8893,0.055,0.0975,0.913,5,1.2866,0.0352
6,"RF_shallow",1000,0.0884,0,1,0.0893,0.0502,0.9331,5,1.365,0.0421
12,"RF_shallow",1000,0.0536,0,1,0.068,0.05,0.9403,5,1.3535,0.0417
20,"RF_shallow",1000,0.0356,0,1,0.0572,0.05,0.943,5,1.3395,0.0405
30,"RF_shallow",1000,0.0256,0,1,0.0543,0.05,0.946,5,1.3427,0.0398
6,"L4_aggressive",1000,0.1291,0,1,0.0911,0.0501,0.9391,5,1.4017,0.0361
12,"L4_aggressive",1000,0.0989,0,1,0.0696,0.05,0.9449,5,1.3944,0.0359
20,"L4_aggressive",1000,0.0894,0,1,0.0601,0.05,0.947,5,1.4018,0.0349
30,"L4_aggressive",1000,0.0868,0,1,0.0595,0.05,0.9484,5,1.4003,0.0348
