"example","label","rung","method","b","b_split_sd","se","df","lcl","ucl"
"E3","E-cigarette use -> hypertension","L1_param","Fully-Aware",0.0189,7e-04,0.0204,30,-0.0228,0.0607
"E3","E-cigarette use -> hypertension","L1_param","Fully-Aware-h05",0.0189,7e-04,0.0189,30,-0.0196,0.0575
"E3","E-cigarette use -> hypertension","L1_param","Fully-Aware-CF",0.0323,0.0044,0.0185,30,-0.0055,0.0701
"E3","E-cigarette use -> hypertension","L1_param","Fully-Aware-CF-wOOF",NA,NA,NA,30,NA,NA
"E3","E-cigarette use -> hypertension","L2_smooth","Fully-Aware",0.0308,0.0032,0.0242,30,-0.0185,0.0802
"E3","E-cigarette use -> hypertension","L2_smooth","Fully-Aware-h05",0.0308,0.0032,0.0201,30,-0.0101,0.0718
"E3","E-cigarette use -> hypertension","L2_smooth","Fully-Aware-CF",0.0338,0.0044,0.0196,30,-0.0063,0.0739
"E3","E-cigarette use -> hypertension","L2_smooth","Fully-Aware-CF-wOOF",0.0323,0.0089,0.0216,30,-0.0117,0.0763
"E3","E-cigarette use -> hypertension","L3_adaptive","Fully-Aware",0.09,0.0077,0.0122,30,0.0651,0.1149
"E3","E-cigarette use -> hypertension","L3_adaptive","Fully-Aware-h05",0.09,0.0077,0.0123,30,0.0649,0.1151
"E3","E-cigarette use -> hypertension","L3_adaptive","Fully-Aware-CF",0.0262,0.0052,0.019,30,-0.0126,0.065
"E3","E-cigarette use -> hypertension","L3_adaptive","Fully-Aware-CF-wOOF",0.0251,0.0066,0.02,30,-0.0158,0.066
"E3","E-cigarette use -> hypertension","L4_aggressive","Fully-Aware",0.1523,0.0623,0.0096,30,0.1327,0.1719
"E3","E-cigarette use -> hypertension","L4_aggressive","Fully-Aware-h05",0.1523,0.0623,0.0099,30,0.1321,0.1725
"E3","E-cigarette use -> hypertension","L4_aggressive","Fully-Aware-CF",-0.0045,0.0115,0.0203,30,-0.046,0.037
"E3","E-cigarette use -> hypertension","L4_aggressive","Fully-Aware-CF-wOOF",-0.0084,0.0118,0.0242,30,-0.0578,0.0409
"E4","GDM history -> hypertension (hardened)","L1_param","Fully-Aware",0.0378,9e-04,0.0266,94,-0.0151,0.0906
"E4","GDM history -> hypertension (hardened)","L1_param","Fully-Aware-h05",0.0378,9e-04,0.0216,94,-0.0052,0.0807
"E4","GDM history -> hypertension (hardened)","L1_param","Fully-Aware-CF",0.0173,0.0048,0.0232,94,-0.0288,0.0634
"E4","GDM history -> hypertension (hardened)","L1_param","Fully-Aware-CF-wOOF",NA,NA,NA,94,NA,NA
"E4","GDM history -> hypertension (hardened)","L2_smooth","Fully-Aware",0.0269,0.0014,0.0258,94,-0.0242,0.0781
"E4","GDM history -> hypertension (hardened)","L2_smooth","Fully-Aware-h05",0.0269,0.0014,0.0205,94,-0.0138,0.0677
"E4","GDM history -> hypertension (hardened)","L2_smooth","Fully-Aware-CF",0.0094,0.005,0.0219,94,-0.0341,0.0528
"E4","GDM history -> hypertension (hardened)","L2_smooth","Fully-Aware-CF-wOOF",0.009,0.008,0.0255,94,-0.0417,0.0596
"E4","GDM history -> hypertension (hardened)","L3_adaptive","Fully-Aware",0.0513,0.0107,0.0101,94,0.0314,0.0713
"E4","GDM history -> hypertension (hardened)","L3_adaptive","Fully-Aware-h05",0.0513,0.0107,0.0101,94,0.0313,0.0713
"E4","GDM history -> hypertension (hardened)","L3_adaptive","Fully-Aware-CF",0.01,0.005,0.0224,94,-0.0344,0.0544
"E4","GDM history -> hypertension (hardened)","L3_adaptive","Fully-Aware-CF-wOOF",0.0078,0.0092,0.0233,94,-0.0385,0.054
"E4","GDM history -> hypertension (hardened)","L4_aggressive","Fully-Aware",-0.2953,0.0316,0.0075,94,-0.3101,-0.2805
"E4","GDM history -> hypertension (hardened)","L4_aggressive","Fully-Aware-h05",-0.2953,0.0316,0.0076,94,-0.3104,-0.2802
"E4","GDM history -> hypertension (hardened)","L4_aggressive","Fully-Aware-CF",-0.0168,0.0109,0.0208,94,-0.058,0.0244
"E4","GDM history -> hypertension (hardened)","L4_aggressive","Fully-Aware-CF-wOOF",-0.0176,0.0097,0.0215,94,-0.0604,0.0252
