"scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","L5_nondonsker","Fully-Aware",1000,0.21,0.01,0.0346,0.0308,0.8885,0.909,0.0091,1.1943,0.0227
"R1","L5_nondonsker","Fully-Aware-CF",1000,0.21,0.0147,0.0356,0.0355,0.9995,0.934,0.0079,1.1943,0.0227
"R1","L5_nondonsker","Fully-Aware-CV",1000,0.21,0.0096,0.0347,0.0285,0.8189,0.874,0.0105,1.1943,0.0227
"R1","L5_nondonsker","Partially-Aware",1000,0.21,0.01,0.0346,0.0284,0.8199,0.88,0.0103,1.1943,0.0227
"R1","L5_nondonsker","Non-Aware",1000,0.21,0.0384,0.0277,0.0196,0.7066,0.496,0.0158,1.1943,0.0227
"standard","L5_nondonsker","Fully-Aware",1000,0.2092,0.0111,0.0441,0.0394,0.8926,0.905,0.0093,1.2734,0.0314
"standard","L5_nondonsker","Fully-Aware-CF",1000,0.2092,0.0117,0.0438,0.0467,1.0657,0.948,0.007,1.2734,0.0314
"standard","L5_nondonsker","Fully-Aware-CV",1000,0.2092,0.0097,0.0474,0.0357,0.7533,0.85,0.0113,1.2734,0.0314
"standard","L5_nondonsker","Partially-Aware",1000,0.2092,0.0111,0.0441,0.0352,0.7986,0.862,0.0109,1.2734,0.0314
"standard","L5_nondonsker","Non-Aware",1000,0.2092,0.0255,0.0389,0.0228,0.5861,0.667,0.0149,1.2734,0.0314
