"example","label","cell","adjust","method","b","se","df","lcl","ucl","signif"
"E4","GDM history -> hypertension (hardened)","E4_noBMI","main","Fully-Aware",0.0205,0.0266,94,-0.0323,0.0733,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","main","Partially-Aware",0.0205,0.026,10955,-0.0304,0.0714,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","main","Non-Aware",0.025,0.0184,10955,-0.011,0.061,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","main","Fully-Aware-CV",0.0071,0.0219,94,-0.0363,0.0506,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","main","Fully-Aware-CF",0.0057,0.0239,94,-0.0418,0.0532,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","sensitivity","Fully-Aware",0.049,0.0276,94,-0.0057,0.1038,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","sensitivity","Partially-Aware",0.049,0.0273,10955,-0.0045,0.1026,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","sensitivity","Non-Aware",0.0446,0.019,10955,0.0073,0.0818,TRUE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","sensitivity","Fully-Aware-CV",0.0365,0.0235,94,-0.0102,0.0832,FALSE
"E4","GDM history -> hypertension (hardened)","E4_noBMI","sensitivity","Fully-Aware-CF",0.0307,0.0255,94,-0.0199,0.0813,FALSE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware",0.0978,0.0118,94,0.0744,0.1212,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Partially-Aware",0.0978,0.0115,29358,0.0753,0.1203,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Non-Aware",0.0744,0.0062,29358,0.0622,0.0866,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware-CV",0.0868,0.008,94,0.0709,0.1027,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware-CF",0.0887,0.0079,94,0.073,0.1044,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware",0.1009,0.0119,94,0.0774,0.1245,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Partially-Aware",0.1009,0.0116,29358,0.0781,0.1237,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Non-Aware",0.0789,0.0063,29358,0.0666,0.0912,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware-CV",0.0905,0.0079,94,0.0748,0.1061,TRUE
"E2","Food insecurity -> depression","E2_noBMI","sensitivity","Fully-Aware-CF",0.0946,0.0078,94,0.079,0.1101,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware",0.0359,0.0078,94,0.0205,0.0514,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Partially-Aware",0.0359,0.0082,30982,0.0199,0.0519,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Non-Aware",0.0355,0.0058,30982,0.0242,0.0468,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware-CV",0.0354,0.0077,94,0.0201,0.0507,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware-CF",0.0363,0.0076,94,0.0213,0.0513,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware",0.0398,0.0079,94,0.0242,0.0554,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Partially-Aware",0.0398,0.0082,30982,0.0238,0.0558,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Non-Aware",0.0399,0.0057,30982,0.0287,0.0512,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware-CV",0.0403,0.0078,94,0.0248,0.0558,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware-CF",0.0396,0.0077,94,0.0244,0.0548,TRUE
