"scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0125,0.0501,0.0519,1.0353,0.94,0.0237,2.6552,0.1297
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0153,0.0522,0.0566,1.0846,0.94,0.0237,2.6552,0.1297
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0125,0.0501,0.0322,0.6421,0.8,0.04,2.6552,0.1297
"DesignC","L1_param","Non-Aware",100,0.1791,0.0154,0.0752,0.0172,0.2283,0.29,0.0454,2.6552,0.1297
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0199,0.0461,0.0512,1.1097,0.96,0.0196,2.5059,0.1297
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0191,0.0482,0.0541,1.1217,0.94,0.0237,2.5059,0.1297
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0199,0.0461,0.0326,0.708,0.81,0.0392,2.5059,0.1297
"DesignC","L1_param","Non-Aware",100,0.1791,0.0076,0.0681,0.017,0.2493,0.34,0.0474,2.5059,0.1297
"DesignC","L1_param","Fully-Aware",100,0.1791,0.017,0.0428,0.0517,1.2064,0.99,0.0099,2.6473,0.1348
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0183,0.0463,0.0563,1.2146,0.99,0.0099,2.6473,0.1348
"DesignC","L1_param","Partially-Aware",100,0.1791,0.017,0.0428,0.0322,0.7511,0.84,0.0367,2.6473,0.1348
"DesignC","L1_param","Non-Aware",100,0.1791,0.0183,0.0709,0.0171,0.2413,0.4,0.049,2.6473,0.1348
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0176,0.0566,0.0518,0.9153,0.89,0.0313,2.6976,0.1333
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0179,0.0614,0.0571,0.9296,0.91,0.0286,2.6976,0.1333
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0176,0.0566,0.0319,0.5644,0.7,0.0458,2.6976,0.1333
"DesignC","L1_param","Non-Aware",100,0.1791,0.0167,0.0684,0.0172,0.2512,0.38,0.0485,2.6976,0.1333
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0292,0.0492,0.052,1.0559,0.93,0.0255,2.6156,0.129
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0309,0.0516,0.0561,1.0878,0.93,0.0255,2.6156,0.129
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0292,0.0492,0.0326,0.6619,0.74,0.0439,2.6156,0.129
"DesignC","L1_param","Non-Aware",100,0.1791,0.0234,0.0593,0.0172,0.2907,0.41,0.0492,2.6156,0.129
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0207,0.0553,0.0519,0.9375,0.89,0.0313,2.6536,0.1265
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0201,0.0597,0.0563,0.9435,0.92,0.0271,2.6536,0.1265
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0207,0.0553,0.0323,0.5839,0.76,0.0427,2.6536,0.1265
"DesignC","L1_param","Non-Aware",100,0.1791,0.0197,0.0693,0.0171,0.2469,0.27,0.0444,2.6536,0.1265
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0256,0.0555,0.052,0.9367,0.92,0.0271,2.7198,0.1318
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0277,0.0583,0.0565,0.9684,0.93,0.0255,2.7198,0.1318
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0256,0.0555,0.0319,0.5747,0.72,0.0449,2.7198,0.1318
"DesignC","L1_param","Non-Aware",100,0.1791,0.0298,0.0651,0.0172,0.2638,0.34,0.0474,2.7198,0.1318
"DesignC","L1_param","Fully-Aware",100,0.1791,0.022,0.0497,0.0526,1.0575,0.95,0.0218,2.6864,0.1267
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0245,0.0539,0.0566,1.0495,0.93,0.0255,2.6864,0.1267
"DesignC","L1_param","Partially-Aware",100,0.1791,0.022,0.0497,0.0325,0.6541,0.78,0.0414,2.6864,0.1267
"DesignC","L1_param","Non-Aware",100,0.1791,0.0241,0.0666,0.0171,0.2576,0.39,0.0488,2.6864,0.1267
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0189,0.0506,0.0524,1.0346,0.91,0.0286,2.6568,0.1308
"DesignC","L1_param","Fully-Aware-CF",100,0.1791,0.0176,0.0543,0.057,1.05,0.93,0.0255,2.6568,0.1308
"DesignC","L1_param","Partially-Aware",100,0.1791,0.0189,0.0506,0.0326,0.6438,0.76,0.0427,2.6568,0.1308
"DesignC","L1_param","Non-Aware",100,0.1791,0.0111,0.0686,0.0171,0.2492,0.4,0.049,2.6568,0.1308
"DesignC","L1_param","Fully-Aware",100,0.1791,0.0187,0.0509,0.0509,0.9997,0.91,0.0286,2.5673,0.1318
