"where","source","written","derived","ok"
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware se_ratio","0.20","0.20",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware se_ratio","0.16","0.16",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF bias","+0.002","+0.002",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF bias","+0.006","+0.006",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF se_ratio","1.45","1.45",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF se_ratio","1.44","1.44",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF coverage","0.988","0.988",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF coverage","0.992","0.992",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: max L4 Fully-Aware-CF mcse_cov","<=0.004","0.0034",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L1_param/Fully-Aware b","0.019","0.019",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L2_smooth/Fully-Aware b","0.031","0.031",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L3_adaptive/Fully-Aware b","0.090","0.090",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L4_aggressive/Fully-Aware b","0.152","0.152",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L1_param/Fully-Aware-CF b","0.033","0.033",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L2_smooth/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L3_adaptive/Fully-Aware-CF b","0.026","0.026",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L4_aggressive/Fully-Aware-CF b","-0.005","-0.005",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware b (weighted single-fit)","-0.295","-0.295",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware lcl,ucl","[-0.310, -0.280]","[-0.310, -0.281]",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Non-Aware b (unweighted single-fit)","+0.212","+0.211",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L3/Fully-Aware-CF b","0.008","0.008",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware-CF b","-0.017","-0.017",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L1_param/Fully-Aware b","0.044","0.044",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L2_smooth/Fully-Aware b","0.035","0.035",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L3_adaptive/Fully-Aware b","0.036","0.036",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4_aggressive/Fully-Aware b","-0.042","-0.042",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4/Fully-Aware lcl,ucl","[-0.052, -0.031]","[-0.052, -0.031]",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L1_param/Fully-Aware-CF b","0.045","0.045",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L2_smooth/Fully-Aware-CF b","0.035","0.035",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L3_adaptive/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4_aggressive/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L1_param/Fully-Aware b","0.102","0.102",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L2_smooth/Fully-Aware b","0.095","0.095",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L3_adaptive/Fully-Aware b","0.110","0.110",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L4_aggressive/Fully-Aware b","-0.003","-0.003",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L1_param/Fully-Aware-CF b","0.092","0.092",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L2_smooth/Fully-Aware-CF b","0.088","0.088",TRUE
