"example","label","rung","method","b","b_split_sd","se","df","lcl","ucl"
"E1","Short sleep -> obesity","L1_param","Non-Aware",0.045,0,0.0058,30982,0.0336,0.0564
"E1","Short sleep -> obesity","L1_param","Partially-Aware",0.0436,1e-04,0.0084,30982,0.0271,0.0601
"E1","Short sleep -> obesity","L1_param","Fully-Aware",0.0436,1e-04,0.0079,94,0.0279,0.0593
"E1","Short sleep -> obesity","L1_param","Fully-Aware-CF",0.0447,6e-04,0.0079,94,0.0289,0.0605
"E1","Short sleep -> obesity","L2_smooth","Non-Aware",0.0354,2e-04,0.0057,30982,0.0241,0.0466
"E1","Short sleep -> obesity","L2_smooth","Partially-Aware",0.0349,3e-04,0.0082,30982,0.0188,0.051
"E1","Short sleep -> obesity","L2_smooth","Fully-Aware",0.0349,3e-04,0.0078,94,0.0194,0.0504
"E1","Short sleep -> obesity","L2_smooth","Fully-Aware-CV",0.0338,2e-04,0.0077,94,0.0184,0.0491
"E1","Short sleep -> obesity","L2_smooth","Fully-Aware-CF",0.035,0.001,0.0077,94,0.0197,0.0504
"E1","Short sleep -> obesity","L3_adaptive","Non-Aware",0.0351,4e-04,0.0052,30982,0.025,0.0452
"E1","Short sleep -> obesity","L3_adaptive","Partially-Aware",0.036,4e-04,0.0073,30982,0.0217,0.0504
"E1","Short sleep -> obesity","L3_adaptive","Fully-Aware",0.036,4e-04,0.0069,94,0.0223,0.0498
"E1","Short sleep -> obesity","L3_adaptive","Fully-Aware-CV",0.0373,3e-04,0.0063,94,0.0248,0.0497
"E1","Short sleep -> obesity","L3_adaptive","Fully-Aware-CF",0.0341,0.0014,0.0078,94,0.0186,0.0495
"E1","Short sleep -> obesity","L4_aggressive","Non-Aware",0.0129,0.0014,0.0034,30982,0.0062,0.0196
"E1","Short sleep -> obesity","L4_aggressive","Partially-Aware",-0.0417,0.0049,0.0047,30982,-0.051,-0.0325
"E1","Short sleep -> obesity","L4_aggressive","Fully-Aware",-0.0417,0.0049,0.0052,94,-0.0521,-0.0314
"E1","Short sleep -> obesity","L4_aggressive","Fully-Aware-CF",0.0336,0.004,0.0143,94,0.0052,0.062
"E2","Food insecurity -> depression","L1_param","Non-Aware",0.0784,1e-04,0.0062,29358,0.0663,0.0905
"E2","Food insecurity -> depression","L1_param","Partially-Aware",0.1018,3e-04,0.0135,29358,0.0755,0.1282
"E2","Food insecurity -> depression","L1_param","Fully-Aware",0.1018,3e-04,0.0137,94,0.0745,0.1291
"E2","Food insecurity -> depression","L1_param","Fully-Aware-CF",0.0917,0.0015,0.0083,94,0.0753,0.1081
