"scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","L1_param","Fully-Aware",1000,0.21,0.0179,0.0342,0.0343,1.0028,0.932,0.008,1.1829,0.0246
"R1","L1_param","Fully-Aware-CF",1000,0.21,0.0204,0.0356,0.0356,0.9995,0.916,0.0088,1.1829,0.0246
"R1","L1_param","Partially-Aware",1000,0.21,0.0179,0.0342,0.0318,0.9291,0.899,0.0095,1.1829,0.0246
"R1","L1_param","Non-Aware",1000,0.21,0.0441,0.0277,0.0209,0.755,0.458,0.0158,1.1829,0.0246
"R1","L2_smooth","Fully-Aware",1000,0.21,0.0102,0.0343,0.0335,0.977,0.939,0.0076,1.1838,0.0253
"R1","L2_smooth","Fully-Aware-CF",1000,0.21,0.0154,0.0356,0.036,1.0133,0.939,0.0076,1.1838,0.0253
"R1","L2_smooth","Fully-Aware-CV",1000,0.21,0.0092,0.0344,0.0339,0.9838,0.943,0.0073,1.1838,0.0253
"R1","L2_smooth","Partially-Aware",1000,0.21,0.0102,0.0343,0.031,0.9046,0.918,0.0087,1.1838,0.0253
"R1","L2_smooth","Non-Aware",1000,0.21,0.0384,0.0277,0.0206,0.7426,0.531,0.0158,1.1838,0.0253
"R1","L3_adaptive","Fully-Aware",1000,0.21,0.0088,0.0338,0.0283,0.8357,0.887,0.01,1.2109,0.0208
"R1","L3_adaptive","Fully-Aware-CF",1000,0.21,0.0149,0.0357,0.0356,0.9969,0.933,0.0079,1.2109,0.0208
"R1","L3_adaptive","Fully-Aware-CV",1000,0.21,0.0088,0.0348,0.0277,0.7975,0.87,0.0106,1.2109,0.0208
"R1","L3_adaptive","Partially-Aware",1000,0.21,0.0088,0.0338,0.0259,0.7655,0.846,0.0114,1.2109,0.0208
"R1","L3_adaptive","Non-Aware",1000,0.21,0.0374,0.0278,0.0187,0.672,0.485,0.0158,1.2109,0.0208
"R1","L4_aggressive","Fully-Aware",1000,0.21,0.0982,0.1068,0.0174,0.1633,0.175,0.012,1.258,0.0243
"R1","L4_aggressive","Fully-Aware-CF",1000,0.21,0.0058,0.0364,0.0524,1.4368,0.992,0.0028,1.258,0.0243
"R1","L4_aggressive","Partially-Aware",1000,0.21,0.0982,0.1068,0.0157,0.1466,0.149,0.0113,1.258,0.0243
"R1","L4_aggressive","Non-Aware",1000,0.21,0.0517,0.0299,0.0106,0.3536,0.145,0.0111,1.258,0.0243
"standard","L1_param","Fully-Aware",1000,0.2092,0.0182,0.0432,0.0441,1.0206,0.934,0.0079,1.2536,0.0334
"standard","L1_param","Fully-Aware-CF",1000,0.2092,0.0193,0.0444,0.0467,1.0515,0.94,0.0075,1.2536,0.0334
"standard","L1_param","Partially-Aware",1000,0.2092,0.0182,0.0432,0.0397,0.9183,0.913,0.0089,1.2536,0.0334
"standard","L1_param","Non-Aware",1000,0.2092,0.0311,0.0393,0.0244,0.6216,0.638,0.0152,1.2536,0.0334
"standard","L2_smooth","Fully-Aware",1000,0.2092,0.0101,0.0434,0.043,0.9896,0.938,0.0076,1.2518,0.0334
"standard","L2_smooth","Fully-Aware-CF",1000,0.2092,0.0129,0.0445,0.0475,1.0672,0.955,0.0066,1.2518,0.0334
"standard","L2_smooth","Fully-Aware-CV",1000,0.2092,0.0082,0.0443,0.0446,1.0065,0.938,0.0076,1.2518,0.0334
"standard","L2_smooth","Partially-Aware",1000,0.2092,0.0101,0.0434,0.0387,0.8912,0.912,0.009,1.2518,0.0334
"standard","L2_smooth","Non-Aware",1000,0.2092,0.0254,0.039,0.0241,0.6168,0.683,0.0147,1.2518,0.0334
"standard","L3_adaptive","Fully-Aware",1000,0.2092,0.0084,0.0427,0.0358,0.8395,0.88,0.0103,1.3063,0.0297
"standard","L3_adaptive","Fully-Aware-CF",1000,0.2092,0.0116,0.0443,0.0468,1.0566,0.943,0.0073,1.3063,0.0297
"standard","L3_adaptive","Fully-Aware-CV",1000,0.2092,0.0094,0.0471,0.0343,0.7284,0.84,0.0116,1.3063,0.0297
"standard","L3_adaptive","Partially-Aware",1000,0.2092,0.0084,0.0427,0.0317,0.742,0.835,0.0117,1.3063,0.0297
"standard","L3_adaptive","Non-Aware",1000,0.2092,0.024,0.039,0.0216,0.5527,0.638,0.0152,1.3063,0.0297
"standard","L4_aggressive","Fully-Aware",1000,0.2092,0.0891,0.1176,0.023,0.1952,0.223,0.0132,1.3645,0.0357
"standard","L4_aggressive","Fully-Aware-CF",1000,0.2092,0.0022,0.0456,0.0661,1.4519,0.988,0.0034,1.3645,0.0357
"standard","L4_aggressive","Partially-Aware",1000,0.2092,0.0891,0.1176,0.0198,0.1681,0.192,0.0125,1.3645,0.0357
"standard","L4_aggressive","Non-Aware",1000,0.2092,0.0459,0.0379,0.0121,0.3196,0.248,0.0137,1.3645,0.0357
