"rung","arm","bias_std","sd_std","se_std","ser_std","cov_std","mcse_std","bias_r1","sd_r1","se_r1","ser_r1","cov_r1","mcse_r1"
"L1 (GLM)","Fully-Aware (single-fit)",0.018,0.044,0.045,1.032,0.934,0.008,0.018,0.034,0.035,1.007,0.933,0.008
"L1 (GLM)","Fully-Aware-CF",0.019,0.045,0.047,1.041,0.942,0.007,0.021,0.036,0.036,0.999,0.914,0.009
"L1 (GLM)","Partially-Aware",0.018,0.044,0.04,0.931,0.914,0.009,0.018,0.034,0.032,0.934,0.901,0.009
"L1 (GLM)","Non-Aware",0.031,0.039,0.024,0.625,0.638,0.015,0.044,0.028,0.021,0.757,0.457,0.016
"L3 (+RF)","Fully-Aware (single-fit)",0.011,0.044,0.039,0.886,0.895,0.01,0.011,0.035,0.031,0.874,0.899,0.01
"L3 (+RF)","Fully-Aware-CF",0.012,0.044,0.047,1.056,0.951,0.007,0.015,0.035,0.035,1.004,0.939,0.008
"L3 (+RF)","Fully-Aware-CV",0.008,0.047,0.034,0.736,0.847,0.011,0.009,0.034,0.028,0.8,0.877,0.01
"L3 (+RF)","Partially-Aware",0.011,0.044,0.035,0.791,0.861,0.011,0.011,0.035,0.028,0.806,0.86,0.011
"L3 (+RF)","Non-Aware",0.026,0.039,0.023,0.581,0.654,0.015,0.038,0.028,0.02,0.702,0.493,0.016
"L4 (deep RF)","Fully-Aware (single-fit)",0.116,0.138,0.024,0.171,0.22,0.013,0.071,0.12,0.018,0.149,0.216,0.013
"L4 (deep RF)","Fully-Aware-CF",0.002,0.046,0.066,1.439,0.985,0.004,0.006,0.036,0.052,1.44,0.992,0.003
"L4 (deep RF)","Partially-Aware",0.116,0.138,0.02,0.146,0.184,0.012,0.071,0.12,0.016,0.133,0.181,0.012
"L4 (deep RF)","Non-Aware",0.072,0.036,0.014,0.389,0.108,0.01,0.065,0.032,0.012,0.374,0.088,0.009
